run_id,snapshot_id,region_ref,mask_refs,platform,viewport,baseline_path,actual_path,diff_path,diff_pixels,diff_ratio,threshold,status,duration_ms,failure_bucket,architecture_type,repository_name,experiment_batch_id,run_index,workflow_run_id,workflow_attempt,tool_name,platform,viewport,generated_at
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,checkout_order_summary,orderDetailsList,orderTotalValue,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\checkout\checkout_order_summary\web\desktop\place-a-delivery-order-in-mx-paying-with-cash\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\checkout\checkout_order_summary\web\desktop\place-a-delivery-order-in-mx-paying-with-cash\actual.png,,,,0.005,SKIP,30162,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,checkout_order_summary,orderDetailsList,orderTotalValue,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\checkout\checkout_order_summary\web\desktop\place-a-delivery-order-in-ch-paying-with-cash\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\checkout\checkout_order_summary\web\desktop\place-a-delivery-order-in-ch-paying-with-cash\actual.png,,,,0.005,SKIP,30160,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,checkout_order_summary,orderDetailsList,orderTotalValue,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\checkout\checkout_order_summary\web\desktop\place-a-delivery-order-in-jp-paying-with-cash\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\checkout\checkout_order_summary\web\desktop\place-a-delivery-order-in-jp-paying-with-cash\actual.png,,,,0.005,SKIP,30145,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_invalid_credentials,loginScreen,usernameInput;passwordInput,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-username-is-missing\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-username-is-missing\actual.png,,,,0.01,SKIP,1456,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_invalid_credentials,loginScreen,usernameInput;passwordInput,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-password-is-missing\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-password-is-missing\actual.png,,,,0.01,SKIP,1390,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_invalid_credentials,loginScreen,usernameInput;passwordInput,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-both-fields-are-empty\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-both-fields-are-empty\actual.png,,,,0.01,SKIP,1442,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_invalid_credentials,loginScreen,usernameInput;passwordInput,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-credentials-are-wrong\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-credentials-are-wrong\actual.png,,,,0.01,SKIP,193,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_invalid_credentials,loginScreen,usernameInput;passwordInput,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-user-is-locked-out\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_invalid_credentials\web\desktop\login-rejected-when-user-is-locked-out\actual.png,,,,0.01,SKIP,1159,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_localized,logoutButton,,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_localized\web\desktop\us\english\logout-label-is-translated-to-english-after-market-us\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_localized\web\desktop\us\english\logout-label-is-translated-to-english-after-market-us\actual.png,,,,0.02,SKIP,1776,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_localized,logoutButton,,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_localized\web\desktop\mx\spanish\logout-label-is-translated-to-spanish-after-market-mx\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_localized\web\desktop\mx\spanish\logout-label-is-translated-to-spanish-after-market-mx\actual.png,,,,0.02,SKIP,1742,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_localized,logoutButton,,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_localized\web\desktop\ch\german\logout-label-is-translated-to-german-after-market-ch\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_localized\web\desktop\ch\german\logout-label-is-translated-to-german-after-market-ch\actual.png,,,,0.02,SKIP,1718,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_localized,logoutButton,,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_localized\web\desktop\ch\french\logout-label-is-translated-to-french-after-market-ch\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_localized\web\desktop\ch\french\logout-label-is-translated-to-french-after-market-ch\actual.png,,,,0.02,SKIP,1643,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
desktop-176ea4da-cb18-4c26-b88e-8831211b537b,login_screen_localized,logoutButton,,web,desktop,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-baselines\login\login_screen_localized\web\desktop\jp\japanese\logout-label-is-translated-to-japanese-after-market-jp\baseline.png,C:\Users\gilsa\Documents\Repos\Generat-Test-Automation-Architecture-TS\gTAA\visual-results\desktop-176ea4da-cb18-4c26-b88e-8831211b537b\login\login_screen_localized\web\desktop\jp\japanese\logout-label-is-translated-to-japanese-after-market-jp\actual.png,,,,0.02,SKIP,2124,,GTAA_BASELINE,gTAA,local-batch,0,NOT_AVAILABLE,NOT_AVAILABLE,playwright,web,desktop,2026-06-09T17:38:55.916Z
